iter	Passed	Remaining
404	5453	8011
405	5461	7991
406	5471	7971
407	5480	7951
408	5490	7933
409	5498	7913
410	5507	7892
411	5515	7871
412	5523	7851
413	5533	7832
414	5543	7813
415	5554	7798
416	5564	7779
417	5573	7760
418	5582	7741
419	5592	7723
420	5600	7702
421	5609	7683
422	5617	7662
423	5626	7643
424	5635	7624
425	5643	7603
426	5652	7584
427	5660	7564
428	5668	7545
429	5677	7525
430	5685	7506
431	5694	7486
432	5701	7466
433	5708	7445
434	5716	7424
435	5724	7404
436	5732	7384
437	5739	7364
438	5747	7344
439	5755	7324
440	5762	7304
441	5770	7284
442	5777	7263
443	5784	7244
444	5792	7224
445	5799	7203
446	5805	7182
447	5812	7161
448	5820	7142
449	5827	7122
450	5837	7105
451	5847	7089
452	5857	7073
453	5875	7066
454	5890	7055
455	5902	7041
456	5910	7023
457	5917	7003
458	5927	6986
459	5935	6967
460	5944	6949
461	5952	6931
462	5959	6912
463	5967	6893
464	5974	6873
465	5981	6854
466	5987	6833
467	5994	6814
468	6001	6794
469	6008	6775
470	6016	6757
471	6023	6738
472	6030	6718
473	6037	6700
474	6048	6684
475	6056	6667
476	6064	6648
477	6074	6633
478	6081	6614
479	6089	6596
480	6096	6578
481	6103	6559
482	6110	6541
483	6121	6526
484485	6149	65485486	6163	64486	6179	6509
487	6215	6521
488	6231	6511
489	6254	6509
490	6276	6506
491	6286	6490
492	6294	6473
493	6302	6455
494	6311	6439
495	6322	6424
496	6331	6407
497	6341	6392
498	6350	6375
499	6359	6359
500	6368	6343
501	6378	6327
502	6389	6313
503	6401	6300
504	6411	6284
505	6429	6276
506	6464	6285
507	6473	6269
508	6486	6257
509	6505	6250
510	6517	6237
511	6525	6219
512	6551	62517513	6690	63518514	6716	63519515	6741	63520516	6766	63521517	6783	63522518	6805	63523519	6822	6297
520	6834	6283
521	6845	6268
522	6858	6255
523	6872	6242
524	6881	6226
525	6891	6210
526	6903	6196
527	6917	6183
528	6930	6170
529	6943	6157
530	6957	6145
531	6969	61536532	6983	61537533	6999	61538534	7015	60539535	7025	60540536	7038	60541537	7057	60542538	7077	60543539	7086	60544540	7096	60545541	7110	60546542	7132	60547543	7141	59548544	7153	59549545	7163	59550546	7178	59551547	7199	59552548	7215	59553549	7233	59554550	7284	5935
551	7309	5932
552	7358	5948
553	7382	5943
554	7398	5932
555	7416	5922
556	7429	5909
557	7448	5899
558	7464	5888
559	7475	5873
560	7484	5856
561	7493	5840
562	7505	5825
563	7517	5811
564	7528	5796
565	7539	5780
566	7547	5764
567	7558	5748
568	7568	5732
569	7577	5716
570	7585	5699
571	7597	5685
572	7626	5683
573	7655	5681
574	7671	5670
575	7693	5663
576	7720	5659
577	7745	5655
578	7775	5653
579	7786	5638
580	7795	5621
581	7803	5604
582	7812	5587
583	7821	5571
584	7831	5555
585	7840	5539
586	7854	5526
587	7863	5509
588	7873	5494
589	7885	5479
590	7894	5463
591	7902	5446
592	7910	5429
593	7919	5413
594	7947	5409
595	7976	5406
596	8003	5402
597	8013	5387
598	8023	5371
599	8031	5354
600	8041	5338
601	8048	5321
602	8057	5304
603	8065	5287
604	8073	5270
605	8081	5254
606	8089	52611	8115	5144
612	8150	5145
613	8178	5141
614	8190	5127
615	8206	5115
616	8218	5101
617	8230	5087
618	8243	5074
619	8259	5062
620	8273	5049
621	8284	5034
622	8294	5019
623	8304	5003
624	8319	4991
625	8335	4980
626	8347	4965
627	8361	4952
628	8378	4941
629	8398	4932
630	8432	4931
631	8469	4931
632	8505	4931
633	8554	4938
634	8579	4931
635	8590	4916
636	8600	4901
637	8611	4886
638	8621	4870
639	8632	4855
640	8642	4840
641	8651	4824
642	8661	4808
643	8669	4792
644	8679	4777
645	8689	4761
646	8700	4746
647	8710	4731
648	8734	4723
649	8748	4710
650	8758	4695
651	8774	4683
652	8785	4668
653	8806	4659
654	8833	4652
655	8842	4636
656	8860	4626
657	8913	4633
658	8943	4627
659	8964	4618
660	8976	4603
661	8991	4590
662	9007	4578
663	9022	4565
664	9035	4551
665	9049	4538
666	9070	4528
667	9084	4514
668	9097	4501
669	9117	4490
670	9134	4478
671	9146	4464
672	9162	4451
673	9176	4438
674	9186	4423
675	9204	4411
676	9217	4397
677	9237	4387
678	9246	4371
679	9259	4357
680	9275	4345
681	9290	4332
682	9302	4317
683	9318	4305
684	9333	4292
685	9343	4276
686	9354	4261
687	9369	4249
688	9387	4237
689	9400	4223
690686	9408	42691687	9424	42692688	9436	42693	9458	4170
694	9472	4156
695	9488	4144
696	9507	4133
697	9524	4120
698	9536	4106
699695	9551	41700696	9568	4159
697	9602	4154
698	9635	4149
699	9664	4141
700	9707	4140
701	9730	4130
702	9744	4116
703	9755	4101
704	9766	4086
705	9777	4071
706	9787	4056
707	9797	4040
708	9807	4025
709	9817	4010
710	9828	3994
711	9839	3980
712	9849	3964
713	9860	3949
